Id;Label
0;A3
1;a4Core
2;AalenJohansen
3;AATtools
4;ABACUS
5;abasequence
6;abbreviate
7;abc
8;abc.data
9;ABC.RAP
10;ABCanalysis
11;abclass
12;ABCoptim
13;ABCp2
14;abcrf
15;abcrlda
16;abctools
17;abd
18;abdiv
19;abe
20;aberrance
21;abess
22;abglasso
23;ABHgenotypeR
24;abind
25;abjData
26;abjutils
27;ABM
28;abmR
29;abnormality
30;abodOutlier
31;ABPS
32;abseil
33;absorber
34;abstr
35;abstractr
36;ABSurvTDC
37;abtest
38;abundant
39;Ac3net
40;ACA
41;AcademicThemes
42;academictwitteR
43;acc
44;acca
45;accdata
46;accelerometry
47;accelmissing
48;AccelStab
49;accept
50;AcceptanceSampling
51;AcceptReject
52;accessibility
53;accessrmd
54;accrual
55;accrualPlot
56;accSDA
57;accucor
58;accumulate
59;acdcquery
60;acdcR
61;ACDm
62;ACE.CoCo
63;ace2fastq
64;acebayes
65;aceEditor
66;ACEP
67;acepack
68;ACEsearch
69;ACEsimFit
70;ACEt
71;acfMPeriod
72;Achilles
73;acid
74;acled.api
75;ACNE
76;acnr
77;acopula
78;AcousticNDLCodeR
79;acp
80;acro
81;acroname
82;AcrossTic
83;acs
84;acss
85;acss.data
86;ACSWR
87;act
88;ACTCD
89;ActCR
90;actel
91;ActFrag
92;actilifecounts
93;activAnalyzer
94;activatr
95;ActiveDriver
96;activegp
97;ActivePathways
98;activity
99;ActivityIndex
100;activPAL
101;actLifer
102;actogrammr
103;actuar
104;actuaRE
105;ActuarialM
106;actuaryr
107;actxps
108;AcuityView
109;acumos
110;ACV
111;ACWR
112;ada
113;adabag
114;adace
115;adagio
116;adaHuber
117;adamethods
118;adana
119;AdapSamp
120;adapt4pv
121;adaptalint
122;adaptDiag
123;AdaptGauss
124;adaptiveGPCA
125;AdaptiveSparsity
126;adaptivetau
127;adaptIVPT
128;adaptMCMC
129;adaptMT
130;adaptr
131;ADAPTS
132;adaptsmoFMRI
133;adaptTest
134;adaR
135;AdaSampling
136;adbcdrivermanager
137;adbcpostgresql
138;adbcsqlite
139;adbi
140;adc
141;ADCT
142;add2ggplot
143;addhaz
144;addhazard
145;addinsJoaoMelo
146;addinslist
147;addinsOutline
148;additive
149;additiveDEA
150;additivityTests
151;addreg
152;addScales
153;ADDT
154;ade4
155;ade4TkGUI
156;adea
157;adegenet
158;adegraphics
159;adehabitatHR
160;adehabitatHS
161;adehabitatLT
162;adehabitatMA
163;adephylo
164;adepro
165;adept
166;adeptdata
167;AdequacyModel
168;ADER
169;adespatial
170;adestr
171;adfExplorer
172;adformR
173;ADGofTest
174;adheRenceRX
175;AdhereR
176;AdhereRViz
177;adimpro
178;adiv
179;adjclust
180;adjROC
181;adjSURVCI
182;adjustedcranlogs
183;adjustedCurves
184;adklakedata
185;adlift
186;admiral
187;admiral.test
188;admiraldev
189;admiralonco
190;admiralophtha
191;admiralvaccine
192;admisc
193;AdMit
194;admix
195;admixr
196;ADMM
197;admmDensestSubmatrix
198;ADMMsigma
199;admtools
200;ADMUR
201;adnuts
202;adobeanalyticsr
203;ADP
204;ADPclust
205;ADPF
206;adproclus
207;adpss
208;ads
209;adsDataHubR
210;ADTSA
211;AdvancedBasketballStats
212;AdvBinomApps
213;AdvDif4
214;adventr
215;ADVICE
216;adw
217;adwave
218;adwordsR
219;aeddo
220;AEDForecasting
221;aedseo
222;AEenrich
223;AEP
224;AER
225;AeRobiology
226;AeroSampleR
227;AF
228;afc
229;afcolours
230;afdx
231;afex
232;AFFECT
233;affinity
234;affinitymatrix
235;affluenceIndex
236;affxparser
237;affy
238;affydata
239;AffymetrixDataTestFiles
240;affyPLM
241;AFheritability
242;AFM
243;afmToolkit
244;afpt
245;AFR
246;africamonitor
247;aftgee
248;afthd
249;aftR2
250;afttest
251;ag5Tools
252;agcounts
253;AGD
254;ageg
255;agena.ai
256;ageutils
257;agfh
258;agghoo
259;AggregateR
260;aggregation
261;aggTrees
262;aggutils
263;AGHmatrix
264;aghq
265;aglm
266;agop
267;AGPRIS
268;agRee
269;AgreementInterval
270;agricolae
271;agricolaeplotr
272;agridat
273;agrifeature
274;agriTutorial
275;agriutilities
276;agriwater
277;agrmt
278;AgroR
279;AgroReg
280;agrostab
281;AgroTech
282;ags
